track,model,fold,n,model_log_loss,model_brier,model_accuracy,model_ece,market_log_loss,market_brier,market_accuracy,market_ece,dc_log_loss,dc_brier,dc_accuracy,dc_ece,logloss_gap,dc_logloss_gap
market_blind,lightgbm_tuned,wf_2021,1792,1.0143960992676628,0.6066607309141433,0.5083705357142857,0.03206170003339566,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.035889483511929554,0.017734269375520362
market_blind,lightgbm_tuned,wf_2022,1796,0.999970898480051,0.5976524686573446,0.5239420935412027,0.028407370296490788,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.02187960069609729,0.024403991085488297
market_blind,lightgbm_tuned,wf_2023,1727,0.9943177024403287,0.5925575552933442,0.5327156919513607,0.023706667736236572,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.04073623476377297,0.026802942942430685
market_blind,lightgbm_tuned,wf_2024,1732,0.9904094708160819,0.5902050769920476,0.5329099307159353,0.01919246525493519,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.030665082666298193,0.024501764350725486
market_blind,logistic,holdout_2025,1727,0.9966685489737385,0.5936795707810486,0.519976838448176,0.01608022323869504,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.018300526093959157,0.014250338250636707
market_blind,logistic,wf_2020,1777,1.070965215555447,0.6423755723997775,0.45132245357343836,0.10165922007253765,0.9765613270483494,0.5791191479076425,0.5278559369724254,0.03223673791595938,1.0006994148712456,0.5959506721696751,0.5120990433314575,0.030857624001676173,0.09440388850709758,0.02413808782289617
market_blind,logistic,wf_2021,1792,1.0082187688598725,0.6019181600823514,0.51171875,0.014961985222726399,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.029712153104139216,0.017734269375520362
market_blind,logistic,wf_2022,1796,0.9940475138612298,0.593867795886577,0.5239420935412027,0.017522185652193923,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.015956216077276042,0.024403991085488297
market_blind,logistic,wf_2023,1727,0.9798415754325009,0.5831885410530001,0.535031847133758,0.025032170500950385,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.026260107755945228,0.026802942942430685
market_blind,logistic,wf_2024,1732,0.9863052175189789,0.5879437055930107,0.5242494226327945,0.018978271781867263,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.026560829369195238,0.024501764350725486
market_blind,stacking,holdout_2025,1727,0.9946229769802881,0.5927614896776122,0.5170816444701795,0.022591116431499123,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.01625495410050881,0.014250338250636707
market_blind,stacking,wf_2021,1792,1.019651944440011,0.6102424895432369,0.5033482142857143,0.015290477521210965,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.04114532868427767,0.017734269375520362
market_blind,stacking,wf_2022,1796,0.994572348210192,0.5939957896267996,0.5211581291759465,0.016767823610544963,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.016481050426238264,0.024403991085488297
market_blind,stacking,wf_2023,1727,0.9819098115044708,0.5851547813486846,0.5396641574985525,0.022657046009646672,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.028328343827915048,0.026802942942430685
market_blind,stacking,wf_2024,1732,0.9803472489748536,0.5838452606952715,0.5323325635103926,0.014144594004981241,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.020602860825069902,0.024501764350725486
