track,model,league,season,n,model_log_loss,market_log_loss,logloss_gap
market_aware,lightgbm_tuned,F1,2023,301,1.0399772709286705,1.0098303584436599,0.03014691248501067
market_aware,lightgbm_tuned,F1,2024,306,0.9668958251543697,0.9546008384014742,0.01229498675289542
market_aware,lightgbm_tuned,I1,2020,365,0.9921453661727333,0.9340552995704348,0.05809006660229854
market_aware,lightgbm_tuned,I1,2021,370,1.0047656689879358,0.981509902183398,0.023255766804537892
market_aware,lightgbm_tuned,I1,2022,370,1.0025932808645708,0.9841977357493309,0.018395545115239886
market_aware,lightgbm_tuned,I1,2023,380,0.9815580589354428,0.9632768121818599,0.01828124675358289
market_aware,lightgbm_tuned,I1,2024,375,0.9713855419532916,0.9477385106913522,0.023647031261939455
market_aware,lightgbm_tuned,SP1,2020,370,1.028352363369767,0.9720757216952135,0.056276641674553596
market_aware,lightgbm_tuned,SP1,2021,380,1.0133733169901713,0.9890357383046481,0.02433757868552322
market_aware,lightgbm_tuned,SP1,2022,375,0.9858424186475093,0.9759010693544311,0.009941349293078217
market_aware,lightgbm_tuned,SP1,2023,375,0.9737575469320275,0.951939082342038,0.021818464589989595
market_aware,lightgbm_tuned,SP1,2024,380,0.9842229575982254,0.945829209358185,0.03839374824004038
market_aware,logistic,D1,2020,301,1.06280591983457,0.9867920050874408,0.07601391474712926
market_aware,logistic,D1,2021,296,1.026755980580635,0.9913772538251243,0.03537872675551068
market_aware,logistic,D1,2022,306,1.0023415214516738,0.9967171965434491,0.0056243249082246205
market_aware,logistic,D1,2023,296,0.9590157236438238,0.9504037422792101,0.008611981364613719
market_aware,logistic,D1,2024,296,1.0062540651537617,0.9885142693896479,0.017739795764113775
market_aware,logistic,E0,2020,370,1.066358063892235,0.9984184697196262,0.06793959417260875
market_aware,logistic,E0,2021,375,0.9366808777688896,0.9312777496563892,0.005403128112500433
market_aware,logistic,E0,2022,375,0.9784186065301771,0.9649751598009977,0.013443446729179409
market_aware,logistic,E0,2023,375,0.9097697462021392,0.9027584121702744,0.007011334031864824
market_aware,logistic,E0,2024,375,0.9773771766194228,0.9673390904529885,0.010038086166434312
market_aware,logistic,F1,2020,371,1.1086576938371662,0.9927548503150889,0.11590284352207725
market_aware,logistic,F1,2021,371,1.0069007042677438,1.0021961935775408,0.0047045106902030565
market_aware,logistic,F1,2022,370,0.9809802805155208,0.9720939473436414,0.008886333171879368
market_aware,logistic,F1,2023,301,1.0170673571337299,1.0098303584436599,0.007236998690069996
market_aware,logistic,F1,2024,306,0.9691996662740533,0.9546008384014742,0.014598827872579045
market_aware,logistic,I1,2020,365,1.0252392181923144,0.9340552995704348,0.09118391862187969
market_aware,logistic,I1,2021,370,0.9814846386801018,0.981509902183398,-2.526350329612459e-05
market_aware,logistic,I1,2022,370,0.9972955459573295,0.9841977357493309,0.013097810207998606
market_aware,logistic,I1,2023,380,0.9726082239044151,0.9632768121818599,0.00933141172255525
market_aware,logistic,I1,2024,375,0.959484554423832,0.9477385106913522,0.011746043732479783
market_aware,logistic,SP1,2020,370,1.0539426076817562,0.9720757216952135,0.08186688598654268
market_aware,logistic,SP1,2021,380,1.0014213298912682,0.9890357383046481,0.012385591586620115
market_aware,logistic,SP1,2022,375,0.9739165988944085,0.9759010693544311,-0.0019844704600225915
market_aware,logistic,SP1,2023,375,0.9589075914684699,0.951939082342038,0.006968509126431988
market_aware,logistic,SP1,2024,380,0.9582432120636679,0.945829209358185,0.012414002705482874
market_aware,stacking,D1,2021,296,1.0196652866087812,0.9913772538251243,0.02828803278365688
market_aware,stacking,D1,2022,306,1.0204868731012133,0.9967171965434491,0.023769676557764186
market_aware,stacking,D1,2023,296,0.9584336378371286,0.9504037422792101,0.008029895557918554
market_aware,stacking,D1,2024,296,0.9992277813447046,0.9885142693896479,0.010713511955056654
market_aware,stacking,E0,2021,375,0.9507543247158822,0.9312777496563892,0.019476575059492962
market_aware,stacking,E0,2022,375,0.9628568208698022,0.9649751598009977,-0.002118338931195507
market_aware,stacking,E0,2023,375,0.916277733828314,0.9027584121702744,0.013519321658039596
market_aware,stacking,E0,2024,375,0.9758874663099857,0.9673390904529885,0.008548375856997192
market_aware,stacking,F1,2021,371,1.0191357925725255,1.0021961935775408,0.01693959899498476
market_aware,stacking,F1,2022,370,0.9861167397843932,0.9720939473436414,0.014022792440751775
market_aware,stacking,F1,2023,301,1.0170920217004735,1.0098303584436599,0.007261663256813655
market_aware,stacking,F1,2024,306,0.9708180649057783,0.9546008384014742,0.016217226504304016
market_aware,stacking,I1,2021,370,1.0072688834891221,0.981509902183398,0.025758981305724182
market_aware,stacking,I1,2022,370,0.9862445929917641,0.9841977357493309,0.002046857242433253
market_aware,stacking,I1,2023,380,0.967795811594743,0.9632768121818599,0.00451899941288314
market_aware,stacking,I1,2024,375,0.9537599392312489,0.9477385106913522,0.006021428539896734
market_aware,stacking,SP1,2021,380,1.0378364013937025,0.9890357383046481,0.0488006630890544
market_aware,stacking,SP1,2022,375,0.9713437333715073,0.9759010693544311,-0.004557335982923849
market_aware,stacking,SP1,2023,375,0.9569200758609544,0.951939082342038,0.0049809935189164545
market_aware,stacking,SP1,2024,380,0.9516237031168318,0.945829209358185,0.005794493758646713
market_blind,lightgbm,D1,2020,301,1.0595822607847867,0.9867920050874408,0.07279025569734587
market_blind,lightgbm,D1,2021,296,1.0389139574883957,0.9913772538251243,0.04753670366327134
