track,model,threshold,n_bets,flat_roi,roi_lo,roi_hi
market_aware,xgboost,0.06,5029,-0.006947703320739706,-0.06414222509445217,0.05324244382581026
market_aware,xgboost,0.06999999999999999,4110,0.0022506082725060827,-0.06076131386861312,0.06508467153284668
market_aware,xgboost,0.07999999999999999,3300,-0.0033363636363636377,-0.07530280303030301,0.0719515909090909
market_aware,xgboost,0.09,2653,-0.007644176404070866,-0.08557369016208065,0.07470495665284581
market_aware,xgboost,0.09999999999999999,2142,-0.002670401493930905,-0.08274894957983193,0.08329645191409893
market_aware,xgboost,0.10999999999999999,1702,-0.0024911868390129354,-0.10007505875440656,0.0985038190364275
market_aware,xgboost,0.11999999999999998,1370,-0.0006204379562043936,-0.10451222627737226,0.10743941605839404
market_aware,xgboost,0.12999999999999998,1106,-0.024538878842676304,-0.1419457504520796,0.09669529837251355
market_aware,xgboost,0.13999999999999999,858,-0.028648018648018653,-0.14873222610722608,0.10313811188811185
market_aware,xgboost,0.14999999999999997,684,-0.016140350877192993,-0.1577152777777777,0.12741593567251458
market_aware,xgboost,0.15999999999999998,553,0.029222423146473775,-0.1290117540687161,0.19768942133815548
market_aware,xgboost,0.16999999999999996,440,0.014204545454545466,-0.1634340909090909,0.19648636363636354
market_aware,xgboost,0.17999999999999997,353,0.03039660056657221,-0.1751303116147309,0.24462322946175635
market_aware,xgboost,0.18999999999999997,279,0.01612903225806449,-0.22768369175627237,0.25167114695340487
market_aware,xgboost,0.19999999999999996,214,-0.04079439252336449,-0.28978154205607465,0.2408551401869158
market_aware,xgboost_tuned,0.02,8368,-0.033999760994263856,-0.07612592614722752,0.006990947657743778
market_aware,xgboost_tuned,0.03,6328,-0.031389064475347665,-0.0794853824273072,0.01854397123893805
market_aware,xgboost_tuned,0.039999999999999994,4610,-0.02621041214750542,-0.08421843817787418,0.035487201735357764
market_aware,xgboost_tuned,0.049999999999999996,3275,-0.023346564885496194,-0.09585389312977097,0.053696106870229
market_aware,xgboost_tuned,0.06,2262,-0.020340406719717066,-0.11010499557913349,0.07266788240495137
market_aware,xgboost_tuned,0.06999999999999999,1491,-0.011535881958417163,-0.12202984574111334,0.10164839034205218
market_aware,xgboost_tuned,0.07999999999999999,993,-0.037432024169184286,-0.16122432024169184,0.09384768378650551
market_aware,xgboost_tuned,0.09,647,-0.014142194744976817,-0.16995131375579595,0.16122488408037092
market_aware,xgboost_tuned,0.09999999999999999,433,-0.045912240184757494,-0.20288799076212471,0.1331922632794457
market_aware,xgboost_tuned,0.10999999999999999,279,0.0924731182795699,-0.12391218637992828,0.3392903225806445
market_aware,xgboost_tuned,0.11999999999999998,179,0.06000000000000001,-0.2058743016759776,0.3625670391061451
market_aware,xgboost_tuned,0.12999999999999998,107,0.07242990654205606,-0.2652429906542056,0.44622897196261646
market_aware,xgboost_tuned,0.13999999999999999,62,-0.16048387096774194,-0.5068266129032257,0.19953629032258055
market_aware,xgboost_tuned,0.14999999999999997,40,-0.05,-0.47113124999999983,0.3743249999999996
market_aware,xgboost_tuned,0.15999999999999998,27,0.05629629629629628,-0.45043518518518505,0.6127129629629623
market_aware,xgboost_tuned,0.16999999999999996,16,0.012499999999999983,-0.6168750000000001,0.7815468749999983
market_aware,xgboost_tuned,0.17999999999999997,12,0.09416666666666666,-0.7291666666666666,0.9708333333333332
market_aware,xgboost_tuned,0.18999999999999997,6,0.02166666666666665,-1.0,1.1666666666666667
market_aware,xgboost_tuned,0.19999999999999996,3,0.08333333333333333,-1.0,2.25
market_blind,catboost,0.02,10126,-0.04978767529132926,-0.08689773849496345,-0.012742173612482725
market_blind,catboost,0.03,8639,-0.05047459196666282,-0.09240719411968977,-0.009483591850908673
market_blind,catboost,0.039999999999999994,7166,-0.041763885012559315,-0.088691913201228,0.006051353614289693
market_blind,catboost,0.049999999999999996,5902,-0.02472551677397493,-0.07651639274822092,0.0314002456794307
market_blind,catboost,0.06,4779,-0.05073446327683615,-0.10637612471228289,0.009804770872567462
market_blind,catboost,0.06999999999999999,3830,-0.07126109660574415,-0.13509432114882505,-0.005333550913838139
market_blind,catboost,0.07999999999999999,3059,-0.05912389669826741,-0.12695406995750244,0.015551078783916284
market_blind,catboost,0.09,2428,-0.04600494233937397,-0.11947878912685336,0.029947487644151494
