season,feature,ks_statistic,ks_p_value,psi,drifted
2021,goal_diff_r10,0.022758262652341224,0.6092442891356389,0.006445016500279798,False
2021,xg_overperformance_r10,0.02246468411454498,0.6256013577718788,0.005586316451392179,False
2022,home_elo,0.07640196486783268,2.5879990469084417e-06,0.04069453619492231,False
2022,home_points_r5,0.021119575357225227,0.6712107259890804,0.009009651032004094,False
2022,home_points_r10,0.029030665966600627,0.29854520574914045,0.007925935974265233,False
2022,home_goals_for_r5,0.010541371345562697,0.9993674286054918,0.001740138639992059,False
2022,home_goals_for_r10,0.018654723292066248,0.8247303413485286,0.00668161549896,False
2022,home_goals_against_r5,0.019739383070054354,0.7491536621220927,0.01024244328411024,False
2022,home_goals_against_r10,0.021531205342563985,0.6706081988878225,0.009101798291525496,False
2022,home_xg_for_r5,0.04372416119626992,0.023280119284928277,0.0084642510257955,False
2022,home_xg_for_r10,0.05212658342661328,0.004540906853448729,0.012015103614656159,False
2022,home_xg_against_r5,0.037820779819829745,0.07115118372830313,0.013809097430981711,False
2022,home_xg_against_r10,0.04364305816019381,0.027880879557219494,0.009096635494147612,False
2022,away_elo,0.08567174865664037,7.932604249363693e-08,0.0522328838132576,False
2022,away_points_r5,0.018181395717083815,0.8309759534861307,0.008916505648327142,False
2022,away_points_r10,0.027274739661267505,0.3716395466780023,0.012497236108662685,False
2022,away_goals_for_r5,0.011874748281429107,0.99607279089769,0.007282510529337156,False
2022,away_goals_for_r10,0.018407689362522812,0.8368667115678958,0.012275842790461976,False
2022,away_goals_against_r5,0.020529736353841442,0.7048544278133917,0.006003527909922493,False
2022,away_goals_against_r10,0.02909732455102791,0.2962747013571924,0.011295614851803606,False
2022,away_xg_for_r5,0.049282795702626135,0.007015570458419449,0.01236592164023228,False
2022,away_xg_for_r10,0.05172192659687565,0.0050028032899315815,0.01707399680467874,False
2022,away_xg_against_r5,0.042983032877457375,0.027023702966040702,0.008282042036249762,False
2022,away_xg_against_r10,0.03353769009406491,0.1595077176490591,0.006214536342710756,False
2022,elo_diff,0.02815186073809909,0.31193382340903475,0.01898794227680224,False
2022,rest_diff,0.017453692388718876,0.8652264381957078,0.0018938502052971342,False
2022,points_diff_r5,0.017672795117434244,0.8552477114176193,0.0031172404399781835,False
2022,xg_diff_r5,0.030187123713008128,0.2372147959945494,0.01498515328294511,False
2022,goal_diff_r5,0.015519633187953309,0.93836945935837,0.0023289262928079457,False
2022,xg_overperformance_r5,0.025839664306392705,0.4147775264375384,0.00473518867721824,False
2022,points_diff_r10,0.025289724878447533,0.47201727961872064,0.014520777993007484,False
2022,xg_diff_r10,0.0390667031007974,0.0670780124520991,0.024319894428738904,False
2022,goal_diff_r10,0.021840738983255524,0.6589837738332751,0.00652327935891677,False
2022,xg_overperformance_r10,0.02590280911792505,0.44140992851367405,0.010230306200711053,False
2023,home_elo,0.12924521800765906,7.466758358897386e-17,0.32686277845539685,True
2023,home_points_r5,0.02654306679351226,0.3969929679604195,0.012109115075744884,False
2023,home_points_r10,0.025541320009382952,0.4689535420744836,0.008278517263699173,False
2023,home_goals_for_r5,0.03795917015775451,0.07547168047606534,0.01356316247434431,False
2023,home_goals_for_r10,0.045911362664726944,0.019833826109482467,0.016240676940628702,False
